UTC,ShipName,MMSI,DRAFT AFT,DRAFT FWD,DRAFT PORT,DRAFT STBD,File name,FilePath
2020-03-11 22:26,한나라호,441273000,5.81.E+00,5.56.E+00,5.81.E+00,5.74.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-11 23:26,한나라호,441273000,5.81.E+00,5.51.E+00,5.81.E+00,5.78.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 0:26,한나라호,441273000,5.83.E+00,5.52.E+00,5.91.E+00,5.77.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 1:26,한나라호,441273000,5.82.E+00,5.61.E+00,5.81.E+00,5.77.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 2:26,한나라호,441273000,5.83.E+00,5.63.E+00,5.85.E+00,5.75.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 3:26,한나라호,441273000,5.84.E+00,5.52.E+00,5.96.E+00,5.76.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 4:26,한나라호,441273000,5.84.E+00,5.66.E+00,5.78.E+00,5.92.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:41,한나라호,441273000,5.84.E+00,5.76.E+00,5.79.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:43,한나라호,441273000,5.85.E+00,5.65.E+00,5.92.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:45,한나라호,441273000,5.86.E+00,5.72.E+00,5.83.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:47,한나라호,441273000,5.85.E+00,5.77.E+00,5.84.E+00,5.86.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:49,한나라호,441273000,5.84.E+00,5.61.E+00,5.92.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:51,한나라호,441273000,5.88.E+00,5.72.E+00,5.90.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
